Alaves,2,alv
Athletic Bilbao,4,atb
Atlético de Madrid,5,atm
Barcelona,5,bar
Betis,4,bet
Cadiz,2,cad
Celta,3,ctv
Getafe,3,get
Granada,3,gra
Levante,2,lev
Osasuna,2,osa
Real Madrid,5,rma
Real Sociedad,4,rso
Sevilla,4,sev
Valencia,4,val
Villarreal,4,vil
