Internacional,4,int
Flamengo,4,fla
Atlético-MG,3,cam
São Paulo,4,sao
Fluminense,3,flu
Grêmio,4,gre
Palmeiras,4,pal
Corinthians,3,cor
Bragantino,2,bgt
Santos,4,san
Athletico-PR,3,cap
Atlético-GO,2,acg
Ceará,2,cea
Sport,2,spt
Fortaleza,2,for
Bahia,2,bah
